Serial Number,Name,Date,Type,Latitude,Longitude,Number of heroes in panel,Biological sex,Transport to Heaven,Religion,Caste,Class,Left-/right-handedness,Elaborateness of carving,Number of registers on hero-stone,Inscribed or not
34,Bangalore at Central College Campus2,15th-16th Century,Sati (Veera Masti),12.9731385,77.5819808,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",M: RH; F: RH,Moderately elaborate,1,Not inscribed
35,Bangalore Chalukya Circle1,14th-15th Century,Sati,12.9828611,77.5869394,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Jain -- yaksha,Unclear,"Poor - no jewels, horses, parasols",M: RH; F: RH,Moderately elaborate,1,Not inscribed
36,Bangalore University Kannada Department8,10th-11th Century,Tiger,12.944872,77.503342,1,"M (dress, anatomy)",Not transported,Unclear,Not clear,Moderately rich??? -- elaborate headdress,RH,Poorly carved,1,Not inscribed
37,Bangalore University1,15th-16th Century,Sati (Veera Masti),12.944658,77.503171,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH;  RH,Moderately elaborate,1,Not inscribed
38,Bangalore University2,15th-16th Century,Sati (Veera Masti),12.944658,77.503171,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",LH; LH???,Moderately elaborate,1,Not inscribed
39,Bangalore University3,15th-16th Century,Sati (Veera Masti),12.944658,77.503171,2 (1M; 1F),"M,F (dress, anatomy)",Not transported,Unclear,Not clear,"Moderately rich??? -- some jewels around man's torso, also elaborate headdress","RH, RH",Moderately elaborate,1,Not inscribed
40,Bangalore University4,15th-16th Century,Sati (Veera Masti),12.944667,77.503131,2 (1M; 1F),"M,F (dress, anatomy)",Not transported,Unclear,Not clear,"Poor - no jewels, horses, parasols","RH, unclear",Semi-moderate,1,Not inscribed
41,Bangalore University5,15th-16th Century,Sati (Veera Masti),12.944876,77.503094,2 (1M; 1F),"M,F (dress, anatomy)",Not transported,Unclear,Not clear,"Moderately wealthy (necklaces, armlets, anklets)","RH, RH",Moderately elaborate,1,Not inscribed
42,Bangalore University6,15th-16th Century,Sati (Veera Masti),12.944707,77.503176,2 (1M; 1F),"M,F (dress, anatomy)",Not transported,Unclear,Not clear,Moderately rich??? -- some jewels around man's torso,"RH, LH",Moderately elaborate,1,Not inscribed
43,Bangalore University7,14th-15th Century,Sati (Veera Masti),12.944878,77.503326,3 (1M; 2F),"M,F, F (dress, anatomy)",Not transported,Unclear,Not clear,"Poor - no jewels, horses, parasols","RH, RH, unclear",Moderately elaborate,1,Not inscribed
