Serial Number,Name,Date,Type,Latitude,Longitude,Number of heroes in panel,Biological sex,Transport to Heaven,Religion,Caste,Class,Left-/right-handedness,Elaborateness of carving,Number of registers on hero-stone,Inscribed or not
113,Cholanayakanahalli1 (Bengaluru South),13th-14th Century,Sati,12.959485,77.355227,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,Rich??? -- elaborately decorated horse for man,Unclear,,,Not inscribed
114,Cubbon Park1,14th-15th Century,Sati,12.9750278,77.5943889,1,Female (dress and anatomy),Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Semi-moderate,1,Not inscribed
115,Dabbaguli,13th-14th Century,Unclear Cause,12.895183,77.323004,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",Unclear,Semi-moderate,1,Not inscribed
116,Dabbaguli2,13th-14th Century,Tiger,12.89483,77.322557,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",Unclear,Poorly carved,1,Not inscribed
117,Dabbaguli3,13th-14th Century,Skirmish,12.89483,77.32255,1,"M (dress, anatomy)",Palanquin carried by apsaras,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,3,Not inscribed
118,Dodda Bommasandra1,13th-14th Century,Unclear Cause,13.0631384,77.5671944,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Royal rich -- decorated horse, jewels, parasols, attendants",RH,Moderately elaborate,2,Not inscribed
119,Dodda Gubbi1,13th-14th Century,Self Sacrifice,13.0701944,77.6743333,2 (2M),"M (dress, anatomy)",Not transported,Unclear,Unclear,Rich -- lots of jewels; headdress,RH; unclear,Moderately elaborate,1,Not inscribed
120,Dodda Nekkundi1,10th-11th Century,Sati (Veera Masti),12.9718611,77.6941729,2 (1M; 1F),"M, F (dress, anatomy)",Palanquin carried by apsaras,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",M: unclear; F: RH,Moderately elaborate,2,Not inscribed
121,Doddajala1,14th-15th Century,Sati (Veera Masti),13.175997,77.654138,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Rich -- decorated horse, jewels",RH;  RH,Moderately elaborate,1,Not inscribed
122,Doddasanne1,9th-10th Century,Unclear Cause,13.23077,77.692967,1,"M (dress, anatomy)",Unclear,Unclear,Unclear,Unclear,Unclear,Semi-moderate,1,Not inscribed
123,Doddasanne2,9th-10th Century,Skirmish,13.2249788,77.6968091,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,Rich -- horse and attendant,LH,Moderately elaborate,1,Not inscribed
124,Doddasanne3,9th-10th Century,Skirmish,13.2250206,77.6968091,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,1,Not inscribed
125,DoddaToguru1,9th-10th Century,Cattle Raiding,12.85205,77.65484,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Semi-moderate,1,Inscribed
126,DoddaToguru2,9th-10th Century,Skirmish,12.851905,77.656198,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Moderately elaborate,2,Not inscribed
127,Dodderi1,13th-14th Century,Skirmish,12.866642,77.378214,1,"M (dress, anatomy)",Carried by arms by apsaras,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,"Poor - no jewels, horses, parasols",Unclear,Elaborately carved,2,Not inscribed
128,Domlur1,13th-14th Century,Self Sacrifice,12.9622222,77.6362222,3 (3M),"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Unclear; unclear; unclear,Elaborately carved,1,Not inscribed
129,Dommasandra1,14th-15th Century,Sati (Veera Masti),12.876077,77.753082,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; RH,Moderately elaborate,1,Not inscribed
130,Ganapathihalli1,13th-14th Century,Skirmish,12.917618,77.396506,1,"M (dress, anatomy)",Palanquin carried by apsaras,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,"Poor - no jewels, horses, parasols",RH,Elaborately carved,3,Not inscribed
131,Gattahalli1,13th-14th Century,Sati (Veera Masti),12.870422,77.704133,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,"Hindu (shivalinga, Nandi bull -- although heroes are not seen worshipping them)",Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; RH,Elaborately carved,2,Not inscribed
132,Gaudahalli1,14th-15th Century,Skirmish,13.2323433,77.5207446,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Semi-moderate,1,Not inscribed
133,Gaudahalli2,14th-15th Century,Sati (Veera Masti),13.232342,77.520695,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; RH,Moderately elaborate,1,Not inscribed
134,Gaudahalli3,14th-15th Century,Sati (Veera Masti),13.232342,77.520695,2 (2F),Female (dress and anatomy),Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; RH,Moderately elaborate,1,Not inscribed
135,Gaudahalli4,14th-15th Century,Sati,13.232342,77.520695,1,Female (dress and anatomy),Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,1,Not inscribed
136,Gaudahalli5,14th-15th Century,Unclear Cause,13.232342,77.520695,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,1,Not inscribed
137,Gaudahalli6,14th-15th Century,Sati (Veera Masti),13.232342,77.5207178,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; RH,Semi-moderate,1,Not inscribed
138,Gaudahalli7,14th-15th Century,Sati (Veera Masti),13.2323133,77.5207312,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; RH,Moderately elaborate,1,Not inscribed
139,Geddalahalli (RMV 2nd Stage)1,8th-9th Century,Unclear Cause,13.0305278,77.5747778,2 (2M),"M (dress, anatomy)",Carried by arms by apsaras,Unclear,Unclear,"Poor - no jewels, horses, parasols",Ambidextrous,Moderately elaborate,2,Not inscribed
140,Gulakamale1,13th-14th Century,Skirmish,12.8021105,77.5303169,1,"M (dress, anatomy)",Transportation not shown,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Moderately elaborate,,Inscribed
141,Gulakamale2,14th-15th Century,Skirmish,12.8021115,77.530318,1,"M (dress, anatomy)","Flanked by apsaras (no contact, all folded hands)","Hindu (worship of shivalinga, Nandi Bull)",Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,,Not inscribed
142,Halasuru,15th-16th Century,Unclear Cause,12.975647,77.623117,1,"M (dress, anatomy)",Not transported,Hindu (presence of club marked with the three white lines),Unclear,Moderately rich (jewels),RH,Moderately elaborate,1,Not inscribed
143,Handenahalli1,10th-11th Century,Self Sacrifice,12.824232,77.761923,2 (1M; 1F),"M, F (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Apparently Hindu,Dvija (caste thread),"Moderately wealthy (necklaces, armlets, anklets)",Unclear,Moderately elaborate,2,Inscribed
144,Handenahalli3,15th-16th Century,Sati (Veera Masti),12.825784,77.766669,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",M: ambidextrous; F: LH,Moderately elaborate,1,Not inscribed
145,Handenahalli4,15th-16th Century,Sati,12.825764,77.766614,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",M: RH; F: unclear,Moderately elaborate,1,Not inscribed
146,Haragadde1,15th-16th Century,Unclear Cause,12.762668,77.654502,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,,Not inscribed
147,Harohalli1,15th-16th Century,Unclear Cause,13.133175,77.577061,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Unclear,Moderately elaborate,1,Not inscribed
148,Harohalli2,15th-16th Century,Sati (Veera Masti),13.133253,77.576994,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Likely Hindu???,Dvija (caste thread),"Moderately wealthy (necklaces, armlets, anklets)",M: Ambidextrous; F: LH ,Moderately elaborate,1,Not inscribed
149,Harohalli3,15th-16th Century,Sati (Veera Masti),13.1332389,77.5769928,3 (1M; 2F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)","M: Ambidextrous; F: LH, LH ",Moderately elaborate,1,Not inscribed
150,Harugadde1,15th-16th Century,Sati,12.7626637,77.654501,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,Rich -- lots of jewels,"RH, unclear",Moderately elaborate,,Not inscribed
151,Hebbagodi1,8th-9th Century,Cattle Raiding,12.824329,77.673378,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Poorly carved,1,Inscribed
152,Hebbala1,8th-9th Century,Town Defense,13.0404265,77.5912069,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",Ambidextrous,Moderately elaborate,1,Inscribed
153,Huchcharayana Palya1,10th-11th Century,Tiger,12.766016,77.53831,2 (2M),"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH; LH,Moderately elaborate,1,Not inscribed
154,Huchcharayana Palya2,10th-11th Century,Cattle Raiding,12.76601,77.53831,2 (2M),"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH; LH,Moderately elaborate,1,Not inscribed
155,Hulimangala1,14th-15th Century,Sati,12.81879,77.6372617,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols","RH, RH",Moderately elaborate,1,Not inscribed
156,Hyadalu1,9th-10th Century,Unclear Cause,13.14143,77.411215,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Not inscribed
157,Hyadalu2,9th-10th Century,Cattle Raiding,13.14143,77.411215,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",Ambidextrous,Moderately elaborate,1,Not inscribed
158,Hyadalu3,9th-10th Century,Skirmish,13.14143,77.411215,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,"Poor - no jewels, horses, parasols",RH,Moderately elaborate,2,Not inscribed
159,Hyadalu4,13th-14th Century,Unclear Cause,13.141042,77.411723,1,"M (dress, anatomy)",Palanquin carried by apsaras,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,"Poor - no jewels, horses, parasols",LH,Moderately elaborate,2,Not inscribed
160,Hyadalu5,9th-10th Century,Boar Hunting,13.141042,77.411723,1,"M (dress, anatomy)",Not transported,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,"Poor - no jewels, horses, parasols",RH,Semi-moderate,1,Not inscribed
161,Ibbaluru1,14th-15th Century,Sati (Veera Masti),12.92145,77.661597,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",M: Unclear; F: RH,Moderately elaborate,1,Not inscribed
162,Immadihalli1,14th-15th Century,Kuruba,12.9651667,77.7565278,4 (1M; 3F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)","M: RH; F: unclear, unclear, RH",Moderately elaborate,1,Not inscribed
163,Indian Institute of Science1,10th-11th Century,Tiger,13.0205278,77.5695278,1,Not visible (only bow and arrow),Not transported,Unclear,Unclear,Unclear,RH,Semi-moderate,1,Not inscribed
164,Indlavadi,14th-15th Century,Unclear Cause,12.726214,77.626161,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,Unclear,Unclear,Poorly carved,1,Not inscribed
165,Jakkasandra1,14th-15th Century,Unclear Cause,13.085707,77.386733,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Moderately elaborate,1,Not inscribed
166,Jakkur Telicom Layout 1,14th-15th Century,Unclear Cause,13.067294,77.616161,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",Unclear,Semi-moderate,1,Not inscribed
167,Junnasandra,16th-17th Century,Sati (Veera Masti),12.9078643,77.6835242,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,Unclear,RH; unclear,Semi-moderate,1,Not inscribed
168,Kadajakkanahalli1,15th-16th Century,Unclear Cause,12.748098,77.635473,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Poorly carved,1,Not inscribed
169,Kadatanamale1,15th-16th Century,Unclear Cause,13.210868,77.54546,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Semi-moderate,1,Not inscribed
170,Kaikondrahalli1,9th-10th Century,Uralivu (Attack on village),12.9107222,77.6806944,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Semi-moderate,1,Inscribed
171,Kengeri1,13th-14th Century,Sati,12.90484,77.489598,4 (4M),"M,F (dress, anatomy)",Carried by arms by apsaras,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,"Poor - no jewels, horses, parasols",RH; unclear; unclear; unclear,Elaborately carved,3,Not inscribed
172,Kerechudanahalli1,14th-15th Century,Skirmish,12.782106,77.489623,1,"M (dress, anatomy)",Transportation not shown,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,"Poor - no jewels, horses, parasols",Ambidextrous,Moderately elaborate,3,Not inscribed
173,Kethohalli1,9th-10th Century,Cattle Raiding,12.906216,77.400446,1,"M (dress, anatomy)",Carried by arms by apsaras,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,"Poor - no jewels, horses, parasols",RH,Moderately elaborate,3,Not inscribed
174,Kethohalli2,9th-10th Century,Unclear Cause,12.906216,77.400446,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Not inscribed
175,Kitiganur1,9th-10th Century,Cattle Raiding,13.032791,77.709131,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,1,Not inscribed
176,Kitiganur2,9th-10th Century,Cattle Raiding,13.0328197,77.7091109,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,1,Not inscribed
177,Kitiganur3,9th-10th Century,Skirmish,13.0328054,77.7091726,1,"M (dress, anatomy)",Carried by arms by apsaras,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,2,Not inscribed
178,Kittanahalli1,10th-11th Century,Cattle Raiding,13.00835,77.403326,1,"M (dress, anatomy)",Transportation not shown,Hindu (surrounded by apsaras in heaven),Unclear,"Poor - no jewels, horses, parasols",Ambidextrous,Moderately elaborate,2,Not inscribed
179,Kittanahalli2,10th-11th Century,Tiger,13.00835,77.403326,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately rich??? -- necklace, earrings, armlets, bracelets",RH,Moderately elaborate,1,Not inscribed
180,Kodigehalli1,15th-16th Century,Sati (Veera Masti),13.065,77.5736389,2 (1M; 1F),"M, F (dress, anatomy)",Transportation not shown -- but both in heaven,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; unclear,Moderately elaborate,2,Not inscribed
181,Kodigehalli2,16th-17th Century,Unclear Cause,13.0576944,77.5768056,1,Ambiguous gender (veil),Not transported,Possibly Hindu -- temple façade on top???,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,1,Not inscribed
182,Kodihalli1,15th-16th Century,Sati (Veera Masti),13.188858,77.454072,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; RH,Moderately elaborate,1,Not inscribed
183,Kodihalli2,15th-16th Century,Sati (Veera Masti),13.188858,77.454072,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; LH,Moderately elaborate,1,Not inscribed
184,Kodihalli3,15th-16th Century,Sati (Veera Masti),13.188858,77.454072,4 (1M; 3F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Royal rich -- decorated horse, jewels, parasol",RH; RH; RH; RH,Moderately elaborate,1,Not inscribed
185,Kolipura1,15th-16th Century,Sati (Veera Masti),13.169006,77.656886,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; unclear,Moderately elaborate,1,Not inscribed
186,Kothnur1,16th-17th Century,Sati (Veera Masti),12.8763889,77.5771944,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",Ambidextrous; RH,Semi-moderate,1,Not inscribed
187,Krishnarajapura (now in the Bangalore Museum)1,8th-9th Century,Uralivu (Attack on village),12.9747,77.596388,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",Ambidextrous; RH,Moderately elaborate,1,Inscribed
188,Kuguru1,14th-15th Century,Unclear Cause,12.909758,77.809906,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Ambidextrous,Poorly carved,1,Not inscribed
189,Kuguru2,14th-15th Century,Unclear Cause,12.909752,77.81002,2 (1M; 1F),"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; ambidextrous,Poorly carved,1,Not inscribed
190,Kuguru3,9th-10th Century,Cattle Raiding,12.911772,77.813722,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",Ambidextrous,Moderately elaborate,1,Inscribed
191,Kuguru4,9th-10th Century,Skirmish,12.911315,77.815142,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,1,Inscribed
192,Kurudusonnenahalli1,10th-11th Century,Unclear Cause,13.0189697,77.7243847,2 (2M),"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Ambidextrous; ambidextrous,Moderately elaborate,2,Not inscribed
193,Kurudusonnenahalli2,10th-11th Century,Unclear Cause,13.01896,77.72438,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Ambidextrous,Moderately elaborate,2,Not inscribed
194,Kurudusonnenahalli3,9th-10th Century,Uralivu (Attack on village),13.018974,77.7243844,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Elaborately carved,2,Inscribed
195,Madapatna1,16th-17th Century,Kuruba,12.934193,77.35832,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Poorly carved,1,Not inscribed
196,Madapatna2,16th-17th Century,Kuruba,12.934259,77.358189,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Not inscribed
197,Madapatna3,16th-17th Century,Kuruba,12.934259,77.358189,3 (1M; 2F),"M, F (dress, anatomy)",Transportation not shown,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,"Poor - no jewels, horses, parasols",RH,Poorly carved,2,Not inscribed
198,Madapatna4,15th-16th Century,Sati (Veera Masti),12.934193,77.35832,3 (1M; 2F),"M, F (dress and anatomy)",Transportation not shown,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,"Poor - no jewels, horses, parasols",RH,Moderately elaborate,3,Not inscribed
199,Madapatna5,15th-16th Century,Sati (Veera Masti),12.934193,77.35832,3 (1M; 2F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Poorly carved,1,Not inscribed
200,Madivala (BTM)1,10th-11th Century,Tiger,12.9167222,77.61525,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Poorly carved,1,Not inscribed
201,Mahalchowdadenahalli,15th-16th Century,Unclear Cause,12.873065,77.807995,"3 (1M, 2F)","M, F (dress, anatomy)",Not transported,"Hindu (worship of shivalinga, Nandi bull)",Unclear,Rich -- lots of jewels,RH; LH; RH,Elaborately carved,1,Not inscribed
202,Manchanahalli1,9th-10th Century,Skirmish,12.76874,77.758674,1,"M (dress, anatomy)",Not transported,Unclear,Dvija (caste thread),"Poor - no jewels, horses, parasols",RH,Moderately elaborate,1,Not inscribed
203,Manchenalli1,15th-16th Century,Unclear Cause,12.769039,77.754217,1,"M (dress, anatomy)",Not transported,Hindu (trishul???),Unclear,"Poor - no jewels, horses, parasols",Ambidextrous,Moderately elaborate,1,Not inscribed
204,Manchenalli2,15th-16th Century,Unclear Cause,12.769107,77.754852,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Moderately elaborate,1,Not inscribed
205,Manchenalli3,15th-16th Century,Unclear Cause,12.7691,77.753257,1,"M (dress, anatomy)",Not transported,Hindu (trishul???),Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Ambidextrous,Moderately elaborate,1,Not inscribed
206,Mandur1,14th-15th Century,Unclear Cause,13.083495,77.736889,1,"M (dress, anatomy)",Transportation not shown but in heaven near apsara,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,"Royal rich -- decorated horse, jewels, parasols, attendants",RH,Elaborately carved,1,Not inscribed
207,Maranagere1,14th-15th Century,Unclear Cause,12.881571,77.851209,"3 (1M, 2F)","M, F (dress, anatomy)",Not transported,"Hindu (worship of shivalinga, Nandi bull)",Unclear,"Rich -- headband, lots of jewels",Ambidextrous; ambidextrous; ambidextrous,Elaborately carved,1,Not inscribed
208,Maranayakanahalli1,8th-9th Century,Unclear Cause,13.168685,77.649676,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Semi-moderate,1,Inscribed
209,Maranayakanahalli2,8th-9th Century,Cattle Raiding,13.1687307,77.6497149,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Ambidextrous,Moderately elaborate,1,Inscribed
210,Marasuru Madivala1,9th-10th Century,Skirmish,12.761743,77.72385,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,Unclear,"RH, RH",Poorly carved,1,Inscribed
211,Marasuru Madivala2,10th-11th Century,Skirmish,12.76173,77.72384,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,1,Not inscribed
212,Marasuru Madivala3,15th-16th Century,Sati (Veera Masti),12.763366,77.723591,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Apparently Hindu,Dvija (caste thread),"Moderately wealthy (necklaces, armlets, anklets)","RH, RH",Moderately elaborate,1,Not inscribed
213,Marasuru Madivala4,10th-11th Century,Skirmish,12.76173,77.72384,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Ambidextrous,Moderately elaborate,2,Inscribed
214,Marasuru1,14th-15th Century,Sati,12.764323,77.727801,2 (1M; 1F),"M, F (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)","RH, RH",Moderately elaborate,,Not inscribed
215,Mattanahalli,14th-15th Century,Sati (Veera Masti),12.870961,77.829892,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH; unclear,Semi-moderate,1,Not inscribed
216,Mayasandra 1 (Anekal Taluk),9th-10th Century,Skirmish,12.747221,77.742435,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Moderately elaborate,1,Not inscribed
217,Medahalli1,9th-10th Century,Cattle Raiding,13.028916,77.722887,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,2,Not inscribed
218,Mutsandra1,14th-15th Century,Skirmish,12.76382,77.745393,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,Rich -- horse and attendant,RH,Moderately elaborate,1,Not inscribed
219,Nadagowda Gollahalli 1 (Bangalore East),9th-10th Century,Skirmish,13.079684,77.675412,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Moderately elaborate,1,Not inscribed
220,Nadagowda Gollahalli 1 (Devanahalli),14th-15th Century,Unclear Cause,13.081332,77.676491,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Semi-moderate,1,Not inscribed
221,Nadagowda Gollahalli 2 (Bangalore East),9th-10th Century,Skirmish,13.0796856,77.6754127,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Moderately elaborate,2,Not inscribed
222,NadagowdaGollahalli1,9th-10th Century,Skirmish,13.079684,77.675412,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Moderately elaborate,2,Inscribed
223,NadagowdaGollahalli2,9th-10th Century,Skirmish,13.0796856,77.675414,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Royal rich -- jewels, horse, attendant, parasol",RH; RH,Moderately elaborate,1,Inscribed
224,Nagamangala1,13th-14th Century,Skirmish,13.216711,77.618338,2 (2M),"M (dress, anatomy)",Carried by arms by apsaras,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; RH,Moderately elaborate,3,Not inscribed
225,Nagasandra1,10th-11th Century,Cattle Raiding,13.0403333,77.4992778,1,"M (dress, anatomy)",Carried by arms by apsaras,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Moderately elaborate,1,Not inscribed
226,Nelaguli1,14th-15th Century,Skirmish,12.774531,77.48834,1,"M (dress, anatomy)",Transportation not shown,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,"Poor - no jewels, horses, parasols",Unclear,Moderately elaborate,1,Not inscribed
227,Neraluru2,16th-17th Century,Skirmish,12.796633,77.732579,2 (2M),"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; RH,Poorly carved,1,Not inscribed
228,Neraluru3,14th-15th Century,Boar Hunting,12.79666,77.728322,Dog,No representation,No representation,No representation,No representation,No representation,No representation,Moderately elaborate,1,Not inscribed
