ID,Name,Date,Type,Latitude,Longitude
128,Domlur1,13th-14th Century,Self Sacrifice,12.9622222,77.6362222
129,Dommasandra1,14th-15th Century,Sati (Veera Masti),12.876077,77.753082
130,Ganapathihalli1,13th-14th Century,Skirmish,12.917618,77.396506
131,Gattahalli1,13th-14th Century,Sati (Veera Masti),12.870422,77.704133
132,Gaudahalli1,14th-15th Century,Skirmish,13.2323433,77.5207446
133,Gaudahalli2,14th-15th Century,Sati (Veera Masti),13.232342,77.520695
134,Gaudahalli3,14th-15th Century,Sati (Veera Masti),13.232342,77.520695
135,Gaudahalli4,14th-15th Century,Sati,13.232342,77.520695
136,Gaudahalli5,14th-15th Century,Unclear Cause,13.232342,77.520695
137,Gaudahalli6,14th-15th Century,Sati (Veera Masti),13.232342,77.5207178
138,Gaudahalli7,14th-15th Century,Sati (Veera Masti),13.2323133,77.5207312
139,Geddalahalli (RMV 2nd Stage)1,8th-9th Century,Unclear Cause,13.0305278,77.5747778
140,Gulakamale1,13th-14th Century,Skirmish,12.8021105,77.5303169
141,Gulakamale2,14th-15th Century,Skirmish,12.8021115,77.530318
142,Halasuru,15th-16th Century,Unclear Cause,12.975647,77.623117
143,Handenahalli1,10th-11th Century,Self Sacrifice,12.824232,77.761923
144,Handenahalli3,15th-16th Century,Sati (Veera Masti),12.825784,77.766669
145,Handenahalli4,15th-16th Century,Sati,12.825764,77.766614
146,Haragadde1,15th-16th Century,Unclear Cause,12.762668,77.654502
147,Harohalli1,15th-16th Century,Unclear Cause,13.133175,77.577061
148,Harohalli2,15th-16th Century,Sati (Veera Masti),13.133253,77.576994
149,Harohalli3,15th-16th Century,Sati (Veera Masti),13.1332389,77.5769928
150,Harugadde1,15th-16th Century,Sati,12.7626637,77.654501
151,Hebbagodi1,8th-9th Century,Cattle Raiding,12.824329,77.673378
152,Hebbala1,8th-9th Century,Town Defense,13.0404265,77.5912069
153,Huchcharayana Palya1,10th-11th Century,Tiger,12.766016,77.53831
154,Huchcharayana Palya2,10th-11th Century,Cattle Raiding,12.76601,77.53831
155,Hulimangala1,14th-15th Century,Sati,12.81879,77.6372617
156,Hyadalu1,9th-10th Century,Unclear Cause,13.14143,77.411215
157,Hyadalu2,9th-10th Century,Cattle Raiding,13.14143,77.411215
158,Hyadalu3,9th-10th Century,Skirmish,13.14143,77.411215
159,Hyadalu4,13th-14th Century,Unclear Cause,13.141042,77.411723
160,Hyadalu5,9th-10th Century,Boar Hunting,13.141042,77.411723
161,Ibbaluru1,14th-15th Century,Sati (Veera Masti),12.92145,77.661597
162,Immadihalli1,14th-15th Century,Kuruba,12.9651667,77.7565278
163,Indian Institute of Science1,10th-11th Century,Tiger,13.0205278,77.5695278
164,Indlavadi,14th-15th Century,Unclear Cause,12.726214,77.626161
165,Jakkasandra1,14th-15th Century,Unclear Cause,13.085707,77.386733
166,Jakkur Telicom Layout 1,14th-15th Century,Unclear Cause,13.067294,77.616161
167,Junnasandra,16th-17th Century,Sati (Veera Masti),12.9078643,77.6835242
168,Kadajakkanahalli1,15th-16th Century,Unclear Cause,12.748098,77.635473
169,Kadatanamale1,15th-16th Century,Unclear Cause,13.210868,77.54546
170,Kaikondrahalli1,9th-10th Century,Uralivu (Attack on village),12.9107222,77.6806944
171,Kengeri1,13th-14th Century,Sati,12.90484,77.489598
172,Kerechudanahalli1,14th-15th Century,Skirmish,12.782106,77.489623
173,Kethohalli1,9th-10th Century,Cattle Raiding,12.906216,77.400446
174,Kethohalli2,9th-10th Century,Unclear Cause,12.906216,77.400446
175,Kitiganur1,9th-10th Century,Cattle Raiding,13.032791,77.709131
176,Kitiganur2,9th-10th Century,Cattle Raiding,13.0328197,77.7091109
177,Kitiganur3,9th-10th Century,Skirmish,13.0328054,77.7091726
178,Kittanahalli1,10th-11th Century,Cattle Raiding,13.00835,77.403326
179,Kittanahalli2,10th-11th Century,Tiger,13.00835,77.403326
180,Kodigehalli1,15th-16th Century,Sati (Veera Masti),13.065,77.5736389
181,Kodigehalli2,16th-17th Century,Unclear Cause,13.0576944,77.5768056
182,Kodihalli1,15th-16th Century,Sati (Veera Masti),13.188858,77.454072
183,Kodihalli2,15th-16th Century,Sati (Veera Masti),13.188858,77.454072
184,Kodihalli3,15th-16th Century,Sati (Veera Masti),13.188858,77.454072
185,Kolipura1,15th-16th Century,Sati (Veera Masti),13.169006,77.656886
186,Kothnur1,16th-17th Century,Sati (Veera Masti),12.8763889,77.5771944
187,Krishnarajapura (now in the Bangalore Museum)1,8th-9th Century,Uralivu (Attack on village),12.9747,77.596388
188,Kuguru1,14th-15th Century,Unclear Cause,12.909758,77.809906
189,Kuguru2,14th-15th Century,Unclear Cause,12.909752,77.81002
190,Kuguru3,9th-10th Century,Cattle Raiding,12.911772,77.813722
191,Kuguru4,9th-10th Century,Skirmish,12.911315,77.815142
192,Kurudusonnenahalli1,10th-11th Century,Unclear Cause,13.0189697,77.7243847
193,Kurudusonnenahalli2,10th-11th Century,Unclear Cause,13.01896,77.72438
194,Kurudusonnenahalli3,9th-10th Century,Uralivu (Attack on village),13.018974,77.7243844
195,Madapatna1,16th-17th Century,Kuruba,12.934193,77.35832
196,Madapatna2,16th-17th Century,Kuruba,12.934259,77.358189
197,Madapatna3,16th-17th Century,Kuruba,12.934259,77.358189
198,Madapatna4,15th-16th Century,Sati (Veera Masti),12.934193,77.35832
199,Madapatna5,15th-16th Century,Sati (Veera Masti),12.934193,77.35832
200,Madivala (BTM)1,10th-11th Century,Tiger,12.9167222,77.61525
201,Mahalchowdadenahalli,15th-16th Century,Unclear Cause,12.873065,77.807995
202,Manchanahalli1,9th-10th Century,Skirmish,12.76874,77.758674
203,Manchenalli1,15th-16th Century,Unclear Cause,12.769039,77.754217
204,Manchenalli2,15th-16th Century,Unclear Cause,12.769107,77.754852
205,Manchenalli3,15th-16th Century,Unclear Cause,12.7691,77.753257
206,Mandur1,14th-15th Century,Unclear Cause,13.083495,77.736889
207,Maranagere1,14th-15th Century,Unclear Cause,12.881571,77.851209
208,Maranayakanahalli1,8th-9th Century,Unclear Cause,13.168685,77.649676
209,Maranayakanahalli2,8th-9th Century,Cattle Raiding,13.1687307,77.6497149
210,Marasuru Madivala1,9th-10th Century,Skirmish,12.761743,77.72385
211,Marasuru Madivala2,10th-11th Century,Skirmish,12.76173,77.72384
212,Marasuru Madivala3,15th-16th Century,Sati (Veera Masti),12.763366,77.723591
213,Marasuru Madivala4,10th-11th Century,Skirmish,12.76173,77.72384
214,Marasuru1,14th-15th Century,Sati,12.764323,77.727801
215,Mattanahalli,14th-15th Century,Sati (Veera Masti),12.870961,77.829892
216,Mayasandra 1 (Anekal Taluk),9th-10th Century,Skirmish,12.747221,77.742435
217,Medahalli1,9th-10th Century,Cattle Raiding,13.028916,77.722887
218,Mutsandra1,14th-15th Century,Skirmish,12.76382,77.745393
219,Nadagowda Gollahalli 1 (Bangalore East),9th-10th Century,Skirmish,13.079684,77.675412
220,Nadagowda Gollahalli 1 (Devanahalli),14th-15th Century,Unclear Cause,13.081332,77.676491
221,Nadagowda Gollahalli 2 (Bangalore East),9th-10th Century,Skirmish,13.0796856,77.6754127
222,NadagowdaGollahalli1,9th-10th Century,Skirmish,13.079684,77.675412
223,NadagowdaGollahalli2,9th-10th Century,Skirmish,13.0796856,77.675414
224,Nagamangala1,13th-14th Century,Skirmish,13.216711,77.618338
225,Nagasandra1,10th-11th Century,Cattle Raiding,13.0403333,77.4992778
226,Nelaguli1,14th-15th Century,Skirmish,12.774531,77.48834
227,Neraluru2,16th-17th Century,Skirmish,12.796633,77.732579
228,Neraluru3,14th-15th Century,Boar Hunting,12.79666,77.728322
229,NMKRV College1,15th-16th Century,Kuruba,12.9324444,77.5810833
230,Peddanapalya1,14th-15th Century,Sati (Veera Masti),12.963867,77.389103
231,Rahuthanahalli1,14th-15th Century,Skirmish,13.027844,77.415831
232,Raj Bhavan (Now in Museum)1,15th-16th Century,Sati (Veera Masti),12.97475,77.5957778
233,Ramasandra1,15th-16th Century,Sati,12.944422,77.466967
234,Sabmangala1,14th-15th Century,Unclear Cause,12.70496,77.729917
235,Sabmangala2,14th-15th Century,Unclear Cause,12.70496,77.729917
236,Sabmangala3,15th-16th Century,Sati,12.705035,77.7299455
237,Sadenahalli1,13th-14th Century,Boar Hunting,13.194355,77.573057
238,Sadenahalli2,10th-11th Century,Skirmish,13.194355,77.573057
239,Sakalavara,8th-9th Century,Tiger,12.822248,77.6099
240,Sampanigiram Nagar (Sri Sampigehalli Beereshwara Swamy)1,16th-17th Century,Kuruba,12.9677222,77.5960278
241,Sarjapura1,10th-11th Century,Skirmish,12.859811,77.784832
242,Sarjapura10,14th-15th Century,Unclear Cause,12.855279,77.785067
243,Sarjapura2,14th-15th Century,Sati,12.8557681,77.7886285
244,Sarjapura3,15th-16th Century,Sati (Veera Masti),12.855471,77.785
245,Sarjapura4,15th-16th Century,Sati,12.855471,77.785
246,Sarjapura5,15th-16th Century,Sati,12.855471,77.785
247,Sarjapura6,15th-16th Century,Sati,12.855471,77.785
248,Sarjapura7,15th-16th Century,Sati (Veera Masti),12.8554318,77.7850134
249,Sarjapura8,15th-16th Century,Sati (Veera Masti),12.855857,77.784893
250,Sarjapura9,15th-16th Century,Sati (Veera Masti),12.8554318,77.7850134
251,Satanuru_Yelahanka1,14th-15th Century,Unclear Cause,13.132278,77.648137
252,Sidihosakote1,15th-16th Century,Skirmish,12.733065,77.690942
253,Sidihosakote10,15th-16th Century,Sati (Veera Masti),12.7294631,77.6879635
254,Sidihosakote11,15th-16th Century,Unclear Cause,12.7295469,77.6876845
255,Sidihosakote12,15th-16th Century,Unclear Cause,12.7294841,77.6880815
256,Sidihosakote13,15th-16th Century,Sati (Veera Masti),12.7294108,77.6881673
257,Sidihosakote14,15th-16th Century,Sati (Veera Masti),12.7294945,77.6878991
258,Sidihosakote15,15th-16th Century,Sati (Veera Masti),12.7294527,77.6877811
259,Sidihosakote16,15th-16th Century,Sati (Veera Masti),12.7295259,77.6875451
260,Sidihosakote17,14th-15th Century,Sati (Veera Masti),12.733072,77.690885
261,Sidihosakote2,15th-16th Century,Sati (Veera Masti),12.733065,77.690942
262,Sidihosakote3,15th-16th Century,Sati (Veera Masti),12.7330651,77.6909433
263,Sidihosakote4,15th-16th Century,Unclear Cause,12.7330692,77.6906699
264,Sidihosakote5,15th-16th Century,Unclear Cause,12.7295469,77.6874485
265,Sidihosakote6,15th-16th Century,Unclear Cause,12.7296306,77.6872017
266,Sidihosakote7,15th-16th Century,Self Sacrifice,12.7295678,77.687824
267,Sidihosakote8,15th-16th Century,Unclear Cause,12.7294736,77.6876631
268,Sidihosakote9,15th-16th Century,Sati,12.7296306,77.6872983
269,Singahalli1,14th-15th Century,Cattle Raiding,13.161053,77.725772
270,Singahalli2,14th-15th Century,Skirmish,13.161053,77.7257412
271,Somanahalli1,14th-15th Century,Skirmish,12.770577,77.505226
272,Somanahalli2,10th-11th Century,Unclear Cause,12.772107,77.506426
273,Sompura,9th-10th Century,Skirmish,12.867608,77.775851
274,Sondekoppa1,13th-14th Century,Sati (Okkai),13.018422,77.384253
275,Sulikunte1,8th-9th Century,Unclear Cause,12.888315,77.728832
276,Sulikunte2,8th-9th Century,Cattle Raiding,12.888682,77.728338
277,Sulikunte3,15th-16th Century,Unclear Cause,12.8883287,77.7266
278,Suryanagar1,16th-17th Century,Kuruba,12.790314,77.704416
279,Taralu1,13th-14th Century,Unclear Cause,12.787331,77.522019
